jis_s,old_zip_code_s,zip_code_s,province_ruby_txt_ja,city_ruby_txt_ja,town_ruby_txt_ja,province_txt_ja,city_txt_ja,town_txt_ja
13103,"107  ",1076235,トウキョウト,ミナトク,アカサカミッドタウン・タワー(35カイ),東京都,港区,赤坂ミッドタウン・タワー（３５階）
13103,"107  ",1076236,トウキョウト,ミナトク,アカサカミッドタウン・タワー(36カイ),東京都,港区,赤坂ミッドタウン・タワー（３６階）
13103,"107  ",1076237,トウキョウト,ミナトク,アカサカミッドタウン・タワー(37カイ),東京都,港区,赤坂ミッドタウン・タワー（３７階）
13103,"107  ",1076238,トウキョウト,ミナトク,アカサカミッドタウン・タワー(38カイ),東京都,港区,赤坂ミッドタウン・タワー（３８階）
13103,"107  ",1076239,トウキョウト,ミナトク,アカサカミッドタウン・タワー(39カイ),東京都,港区,赤坂ミッドタウン・タワー（３９階）
13103,"107  ",1076240,トウキョウト,ミナトク,アカサカミッドタウン・タワー(40カイ),東京都,港区,赤坂ミッドタウン・タワー（４０階）
13103,"107  ",1076241,トウキョウト,ミナトク,アカサカミッドタウン・タワー(41カイ),東京都,港区,赤坂ミッドタウン・タワー（４１階）
13103,"107  ",1076242,トウキョウト,ミナトク,アカサカミッドタウン・タワー(42カイ),東京都,港区,赤坂ミッドタウン・タワー（４２階）
13103,"107  ",1076243,トウキョウト,ミナトク,アカサカミッドタウン・タワー(43カイ),東京都,港区,赤坂ミッドタウン・タワー（４３階）
13103,"107  ",1076244,トウキョウト,ミナトク,アカサカミッドタウン・タワー(44カイ),東京都,港区,赤坂ミッドタウン・タワー（４４階）
13103,"107  ",1076245,トウキョウト,ミナトク,アカサカミッドタウン・タワー(45カイ),東京都,港区,赤坂ミッドタウン・タワー（４５階）
13103,"106  ",1060045,トウキョウト,ミナトク,アザブジュウバン,東京都,港区,麻布十番
13103,"106  ",1060041,トウキョウト,ミナトク,アザブダイ,東京都,港区,麻布台
13103,"106  ",1060043,トウキョウト,ミナトク,アザブナガサカチョウ,東京都,港区,麻布永坂町
13103,"106  ",1060042,トウキョウト,ミナトク,アザブマミアナチョウ,東京都,港区,麻布狸穴町
13103,"105  ",1050002,トウキョウト,ミナトク,アタゴ(ツギノビルヲノゾク),東京都,港区,愛宕（次のビルを除く）
13103,"105  ",1056290,トウキョウト,ミナトク,アタゴアタゴグリーンヒルズモリタワー(チカイ・カイソウフメイ),東京都,港区,愛宕愛宕グリーンヒルズＭＯＲＩタワー（地階・階層不明）
13103,"105  ",1056201,トウキョウト,ミナトク,アタゴアタゴグリーンヒルズモリタワー(1カイ),東京都,港区,愛宕愛宕グリーンヒルズＭＯＲＩタワー（１階）
13103,"105  ",1056202,トウキョウト,ミナトク,アタゴアタゴグリーンヒルズモリタワー(2カイ),東京都,港区,愛宕愛宕グリーンヒルズＭＯＲＩタワー（２階）
13103,"105  ",1056203,トウキョウト,ミナトク,アタゴアタゴグリーンヒルズモリタワー(3カイ),東京都,港区,愛宕愛宕グリーンヒルズＭＯＲＩタワー（３階）
13103,"105  ",1056204,トウキョウト,ミナトク,アタゴアタゴグリーンヒルズモリタワー(4カイ),東京都,港区,愛宕愛宕グリーンヒルズＭＯＲＩタワー（４階）
13103,"105  ",1056205,トウキョウト,ミナトク,アタゴアタゴグリーンヒルズモリタワー(5カイ),東京都,港区,愛宕愛宕グリーンヒルズＭＯＲＩタワー（５階）
13103,"105  ",1056206,トウキョウト,ミナトク,アタゴアタゴグリーンヒルズモリタワー(6カイ),東京都,港区,愛宕愛宕グリーンヒルズＭＯＲＩタワー（６階）
13103,"105  ",1056207,トウキョウト,ミナトク,アタゴアタゴグリーンヒルズモリタワー(7カイ),東京都,港区,愛宕愛宕グリーンヒルズＭＯＲＩタワー（７階）
13103,"105  ",1056208,トウキョウト,ミナトク,アタゴアタゴグリーンヒルズモリタワー(8カイ),東京都,港区,愛宕愛宕グリーンヒルズＭＯＲＩタワー（８階）
13103,"105  ",1056209,トウキョウト,ミナトク,アタゴアタゴグリーンヒルズモリタワー(9カイ),東京都,港区,愛宕愛宕グリーンヒルズＭＯＲＩタワー（９階）
13103,"105  ",1056210,トウキョウト,ミナトク,アタゴアタゴグリーンヒルズモリタワー(10カイ),東京都,港区,愛宕愛宕グリーンヒルズＭＯＲＩタワー（１０階）
13103,"105  ",1056211,トウキョウト,ミナトク,アタゴアタゴグリーンヒルズモリタワー(11カイ),東京都,港区,愛宕愛宕グリーンヒルズＭＯＲＩタワー（１１階）
13103,"105  ",1056212,トウキョウト,ミナトク,アタゴアタゴグリーンヒルズモリタワー(12カイ),東京都,港区,愛宕愛宕グリーンヒルズＭＯＲＩタワー（１２階）
13103,"105  ",1056213,トウキョウト,ミナトク,アタゴアタゴグリーンヒルズモリタワー(13カイ),東京都,港区,愛宕愛宕グリーンヒルズＭＯＲＩタワー（１３階）
